sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH39_v1;839923.80;816560.75;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH39_v1;839923.80;816560.75;1;0.20;1.30;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;1.30;1.75;;Angular Boulder, Cobbles and Gravels of moderately decomposed granite with some brown silty SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;1.75;3.21;;1.37m-1.70m: boulder. Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;3.21;5.66;;Angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;5.66;23.90;;Wash boring. (No recovery);No Recovery;1.00
DH39_v1;839923.80;816560.75;3;23.90;24.43;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.43;24.63;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.63;24.93;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.93;25.65;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;25.65;27.44;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.44;27.61;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.61;27.77;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.77;28.14;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;28.14;33.61;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-80 degrees.;Granite;1.00
