sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
P4_v1;839894.00;816500.44;1;0.00;2.80;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;1;2.80;3.30;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;1;3.30;19.17;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;2;19.17;19.30;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;3;19.30;23.40;;wash boring;Wash Boring / No Recovery;1.00
P4_v1;839894.00;816500.44;3;23.40;24.32;;Rounded and subrounded COBBLES in fine to coarse GRAVEL. No recovery assumed finer material washed out.;Alluvium;1.00
P4_v1;839894.00;816500.44;3;24.32;25.11;III/IV;Moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with moderately closely to closely spaced, narrow, rough undulating limonite stained joints, dipping 30 degrees to 35 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;25.11;26.92;III/IV;Moderately weak, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, narrow rough planar to narrow, rough stepped, limonite and iron oxide stained joints, dipping 15 degrees to 35 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;26.92;28.15;II/III;Moderately strong to strong, brownish grey to pinkish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to extremely closely spaced, broad to extremely narrow, limonite stained joints, dipping 0 degrees to 10 degrees;Granite;1.00
P4_v1;839894.00;816500.44;3;28.15;28.92;II;Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5 degrees to 10 degrees;Granite;1.00
