Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH 4;1;0.00;1.00;Brown (7.5YR 5/4) mottled yellowish red, slightly sandy fine to coarse gravel with angular to subangular fine to coarse gravel. (FILL) / Greyish brown (10YR 5/2) and reddish yellow (7.5YR 6/6), mottled yellowish brown, slightly silty sandy fine to coarse GRAVEL and much cobble of grey decomposed granite. (FILL);FILL;High
DH 4;1;1.00;2.00;Very stiff, reddish yellow (7.5YR 8/6) mottled yellowish brown, slightly silty fine to coarse GRAVEL and much cobble of grey decomposed granite.;GRAVEL;High
DH 4;1;2.00;3.00;Very stiff, reddish yellow (7.5YR 8/6) mottled yellowish brown, slightly silty sandy fine to coarse gravel, angular to subangular fine to coarse gravel. (COLLUVIUM);COLLUVIUM;High
DH 4;1;3.00;3.50;No recovery;No recovery;High
DH 4;1;3.50;8.00;Weak, light yellowish brown (2.5Y 6/3), highly decomposed, TUFF BRECCIA. (Angular, slightly silty sandy fine to medium GRAVEL of highly decomposed tuff breccia fragments) / Weak to moderately weak, reddish yellow (7.5YR 8/6), highly decomposed, TUFF BRECCIA (Angular, slightly silty sandy fine to medium GRAVEL of highly decomposed tuff breccia fragments);TUFF BRECCIA;High
DH 4;1;8.00;9.00;Moderately strong to strong, light brownish grey and light to moderately decomposed TUFF BRECCIA. (CORESTONE);TUFF BRECCIA (CORESTONE);High
DH 4;1;9.00;10.96;Weak, pale olive (5Y 6/3), completely decomposed, TUFF BRECCIA. (Stiff, slightly sandy silt);TUFF BRECCIA;High
DH 4;2;10.96;11.50;Weak to moderately weak, yellowish brown (10YR 7/6), moderately decomposed, TUFF BRECCIA. (Angular, clayey silty sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);TUFF BRECCIA;High
DH 4;2;11.50;11.73;From 11.50m to 11.73m and 13.10m to 13.30m. No recovery, assumed to be completely decomposed TUFF BRECCIA.;No recovery;High
DH 4;2;11.73;13.10;Weak to moderately weak, yellowish brown (10YR 7/6), moderately decomposed, TUFF BRECCIA. (Angular, clayey silty sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);TUFF BRECCIA;High
DH 4;2;13.10;13.30;No recovery;No recovery;High
DH 4;2;13.30;14.38;Extremely weak, pale olive (5Y 6/3), completely decomposed, TUFF BRECCIA. (Silty clayey sandy SILT);TUFF BRECCIA;High
DH 4;2;14.38;14.50;No recovery;No recovery;High
DH 4;2;14.50;17.60;Weak to moderately weak, pale olive (5Y 6/3), highly decomposed, TUFF BRECCIA. (Angular, clayey silty sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);TUFF BRECCIA;High
DH 4;2;17.60;17.75;Moderately strong and moderately decomposed. (CORESTONE);CORESTONE;High
DH 4;2;17.75;18.98;Moderately strong, light grey dappled light yellowish brown, moderately decomposed, TUFF BRECCIA (CORESTONE);TUFF BRECCIA (CORESTONE);High
DH 4;2;18.98;19.93;Strong and slightly decomposed. (CORESTONE);CORESTONE;High
DH 4;2;19.93;20.22;No recovery;No recovery;High
DH 4;3;20.22;20.60;Weak to moderately weak, yellowish brown (10YR 7/6), moderately decomposed, TUFF BRECCIA. (Angular, clayey silty sandy fine to coarse GRAVEL of highly decomposed tuff breccia fragments);TUFF BRECCIA;High
DH 4;3;20.60;22.15;Moderately strong to strong and moderately decomposed. (CORESTONE);CORESTONE;High
DH 4;3;22.15;25.14;From 22.15m to 25.24m: No recovery, assumed to be completely decomposed TUFF BRECCIA.;No recovery;High
DH 4;3;25.14;26.03;Very strong to extremely strong and slightly decomposed to moderately decomposed, TUFF BRECCIA (CORESTONE);TUFF BRECCIA (CORESTONE);High
