Hole No,Sheet No,Start Depth,End Depth,Soil/Rock Description,Soil/Rock Type,Confidence Level
DH42,1,0.00,0.20,"Concrete Slab.",FILL,High
DH42,1,0.20,0.80,"Brown, gravelly silty medium to coarse SAND. (FILL)",FILL,High
DH42,1,0.80,1.40,"Concrete with cobbles and gravels of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL)",FILL,High
DH42,1,1.40,4.00,"Wash boring. (No recovery)",No Recovery,High
DH42,1,4.00,6.20,"Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL)",FILL,High
DH42,1,6.20,10.00,"Wash boring. (No recovery)",No Recovery,High
DH42,2,10.00,20.00,"Wash boring. (No recovery)",No Recovery,High
DH42,3,20.00,29.00,"Wash boring. (No recovery)",No Recovery,High
DH42,3,29.00,29.10,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.",Granite,High
DH42,3,29.10,30.00,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10°-20°, 50°-65°.",Granite,High
DH42,4,30.00,34.99,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10°-20°, 50°-65°.",Granite,High
